,batch_size,data_set,epochs,id,labels_number,log_interval,lr,lr_decay_epoch,max_set_new_size_test,max_set_new_size_train,momentum,new_sets_number_test,new_sets_number_train,no_cuda,random_sample,result_file,seed,set_size_range,test_accuracy,test_batch_size,test_set_size,time,train_accuracy,train_loss,train_set_size
69,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
70,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
71,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
72,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
73,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
74,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
75,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
76,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
77,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
78,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
79,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
